UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
119234,3933300,39333,Mueller College,San Diego,CA,www.mueller.edu,www.mueller.edu/HHPcalc.htm,11
119270,2161800,21618,Musicians Institute,Hollywood,CA,www.mi.edu,www.mi.edu/price/npcalc.htm,11
119331,124700,1247,Napa Valley College,Napa,CA,www.napavalley.edu,webprod.cccco.edu/npc/241/npcalc.htm,13
119340,1102400,11024,Everest College-San Francisco,San Francisco,CA,www.bryman.edu,www.bryman.edu,11
119359,1110900,11109,Everest College-Reseda,Reseda,CA,www.everest.edu/campus/reseda,www.Everest.edu/npc,11
119368,760600,7606,Everest College-LA Wilshire,Los Angeles,CA,bryman.edu/brymanla/,bryman.edu,11
119438,1206100,12061,Everest College-San Jose,San Jose,CA,www.bryman.edu,www.bryman.edu,11
119456,1112300,11123,Everest College-Gardena,Gardena,CA,www.everest.edu/campus/gardena,www.Everest.edu/npc,13
119465,809000,8090,Everest College-Alhambra,Alhambra,CA,www.everest.edu/campus/alhambra,www.Everest.edu/npc,21
119508,449400,4494,Everest College-San Bernardino,San Bernardino,CA,everest.edu/campus/san_bernardino,www.Everest.edu/npc,12
119544,2518400,25184,The National Hispanic University,San Jose,CA,www.nhu.edu,www.nhu.edu/financial_aid/index.htm,11
119553,2542300,25423,National Holistic Institute,Emeryville,CA,www.nhi.edu,www.nhi.edu/massage_school/calculator/npcalc.htm,21
119605,1146000,11460,National University,La Jolla,CA,www.nu.edu,www.nu.edu/Admissions/Financial-Aid-and-Scholarships.html,11
119775,3043900,30439,Newschool of Architecture and Design,San Diego,CA,www.newschoolarch.edu,www.newschoolarch.edu/tuition-financialaid/netprice-calculator.htm,11
119845,713000,7130,Newberry School of Beauty,Granada Hills,CA,www.newberryschoolofbeauty.net,www.newberryschoolofbeauty.net,11
119951,718700,7187,Adrian's College of Beauty Modesto,Modesto,CA,www.adrians.edu,www.adrians.edu,12
120069,1287200,12872,North-West College-Pomona,Pomona,CA,www.north-westcollege.edu,www.north-westcollege.edu/ecamp/npc-nwc/npcalc.htm,21
